"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 06 16:14:41 CST 2023","Thu Apr 06 16:14:41 CST 2023","34","demo","testcase","Test_002","","","查询标签",""
"passed","Thu Apr 06 16:14:41 CST 2023","Thu Apr 06 16:14:41 CST 2023","23","demo","testcase","Test_002","","","查询标签",""
"passed","Thu Apr 06 16:14:41 CST 2023","Thu Apr 06 16:14:41 CST 2023","39","demo","testcase","Test_001","","","用户登录",""
"passed","Thu Apr 06 16:14:41 CST 2023","Thu Apr 06 16:14:41 CST 2023","26","demo","testcase","Test_002","","","查询标签",""
"passed","Thu Apr 06 16:14:41 CST 2023","Thu Apr 06 16:14:41 CST 2023","56","demo","testcase","Test_001","","","用户登录",""
"passed","Thu Apr 06 16:14:41 CST 2023","Thu Apr 06 16:14:41 CST 2023","28","demo","testcase","Test_002","","","查询标签",""
"passed","Thu Apr 06 16:14:41 CST 2023","Thu Apr 06 16:14:41 CST 2023","29","demo","testcase","Test_001","","","用户登录",""
"passed","Thu Apr 06 16:14:41 CST 2023","Thu Apr 06 16:14:41 CST 2023","28","demo","testcase","Test_002","","","查询标签",""
"passed","Thu Apr 06 16:14:41 CST 2023","Thu Apr 06 16:14:41 CST 2023","41","demo","testcase","Test_001","","","用户登录",""
"passed","Thu Apr 06 16:14:41 CST 2023","Thu Apr 06 16:14:41 CST 2023","21","demo","testcase","Test_002","","","查询标签",""
